Date;Open;High;Low;Close;Adj Close;Volume
2018-07-29;3.494770;4.073150;2.363220;2.601570;2.601570;6400
2018-07-30;2.602730;4.200450;2.142450;3.878670;3.878670;3683
2018-07-31;3.871380;4.238330;2.996540;3.829420;3.829420;10908
2018-08-01;3.832640;3.966820;2.939360;3.398790;3.398790;5288
2018-08-02;3.381270;4.140420;3.033820;3.770510;3.770510;4830
2018-08-03;3.777870;3.975570;2.886640;2.899400;2.899400;8002
2018-08-04;3.199370;3.792410;2.884930;3.372520;3.372520;3212
2018-08-05;3.948440;3.961990;2.700400;3.453050;3.453050;3899
2018-08-06;3.457160;3.870150;2.823420;3.025870;3.025870;4259
2018-08-07;2.874070;3.892010;2.653590;2.653590;2.653590;5240
2018-08-08;3.507090;3.507090;2.449000;2.794370;2.794370;4776
2018-08-09;2.789650;3.024710;2.425790;2.767750;2.767750;3297
2018-08-10;2.764890;3.012400;2.524110;2.795930;2.795930;2682
2018-08-11;2.610230;3.009440;2.471400;2.714070;2.714070;3744
2018-08-12;2.817980;2.846420;2.448950;2.463930;2.463930;4742
2018-08-13;2.463100;2.830150;2.331400;2.405990;2.405990;7826
2018-08-14;2.403820;2.827380;2.189970;2.289680;2.289680;7864
2018-08-15;2.288660;2.855180;2.288660;2.309470;2.309470;6109
2018-08-16;2.306720;15.697000;2.011860;2.736350;2.736350;10171
2018-08-17;2.737570;3.653330;2.246170;2.586280;2.586280;9030
2018-08-18;2.592300;3.810430;2.398670;3.417320;3.417320;7785
2018-08-19;3.418510;3.574870;2.507100;2.607360;2.607360;5440
2018-08-20;2.603490;2.788460;2.182010;2.627200;2.627200;3514
2018-08-21;2.623360;5.878800;2.244310;2.255880;2.255880;10870
2018-08-22;2.256320;12.361900;2.244610;12.361900;12.361900;23601
2018-08-23;12.787100;23.262800;2.169280;2.337990;2.337990;68361
2018-08-24;2.349530;3.664360;2.349530;3.650600;3.650600;6638
2018-08-25;3.644040;3.812170;2.882940;3.511830;3.511830;5657
2018-08-26;3.519380;3.706690;2.707680;2.798510;2.798510;6822
2018-08-27;2.797300;3.169670;2.692570;2.977480;2.977480;6505
2018-08-28;2.971650;3.169410;2.489160;2.924860;2.924860;11913
2018-08-29;2.927010;2.966730;2.455170;2.570260;2.570260;8527
2018-08-30;2.571670;3.066010;2.330190;2.397840;2.397840;6828
2018-08-31;2.400160;3.034130;2.395620;2.992210;2.992210;12314
2018-09-01;2.836700;3.736200;2.610330;3.509170;3.509170;6671
2018-09-02;3.509730;4.697880;2.800700;3.176540;3.176540;9405
2018-09-03;3.175910;4.514900;2.968280;3.033240;3.033240;12318
2018-09-04;3.033250;4.502460;3.025510;4.128080;4.128080;6759
2018-09-05;4.131480;4.480980;2.199140;2.632830;2.632830;8966
2018-09-06;2.637520;3.392830;2.356480;2.903890;2.903890;6859
2018-09-07;2.901100;3.460750;2.426420;2.941420;2.941420;8044
2018-09-08;3.045520;3.059620;2.407770;2.666370;2.666370;5400
2018-09-09;2.665110;3.042470;2.447860;2.842730;2.842730;6290
